TTree  Jul 18 20:37 2018 Events            ""
      patJets_slimmedJets__DQM.obj.mPassNumber                                     "mPassNumber[patJets_slimmedJets__DQM.obj_]"                    6769699
      patJets_slimmedJets__DQM.obj.refToOrig_.core_                                "core_[patJets_slimmedJets__DQM.obj_]"                          9766736
      patJets_slimmedJets__DQM.obj.refToOrig_.key_                                 "key_[patJets_slimmedJets__DQM.obj_]"                           12762958
      patJets_slimmedJets__DQM.obj.triggerObjectMatchesEmbedded_                   "triggerObjectMatchesEmbedded_[patJets_slimmedJets__DQM.obj_]"  8277697
      patJets_slimmedJets__DQM.obj.efficiencyValues_                               "efficiencyValues_[patJets_slimmedJets__DQM.obj_]"              8274349
      patJets_slimmedJets__DQM.obj.efficiencyNames_                                "efficiencyNames_[patJets_slimmedJets__DQM.obj_]"               7898316
      patJets_slimmedJets__DQM.obj.genParticleRef_                                 "genParticleRef_[patJets_slimmedJets__DQM.obj_]"                8273791
      patJets_slimmedJets__DQM.obj.genParticleEmbedded_                            "genParticleEmbedded_[patJets_slimmedJets__DQM.obj_]"           8275186
      patJets_slimmedJets__DQM.obj.overlapLabels_                                  "overlapLabels_[patJets_slimmedJets__DQM.obj_]"                 7897762
      patJets_slimmedJets__DQM.obj.overlapItems_                                   "overlapItems_[patJets_slimmedJets__DQM.obj_]"                  8273233
      patJets_slimmedJets__DQM.obj.userDataLabels_                                 "userDataLabels_[patJets_slimmedJets__DQM.obj_]"                7898039
